area_id,area_name
LEJA,Lewis Ct & Javelina Ave
1SLI1,Lincoln/1st Ave
CELI2,Lincoln/Central Ave
MCLI,Litchfield Rd & McDowell Rd
LFVB,Litchfield Rd & Van Buren St
KYAL,Lone Butte Casino
LT59,Lot 59
LAFC,Luke AFB Lightning Gate
MC85,MC 85 & Ash/Narramore
MAAL,Main St & Alma School Rd
MADO,Main St & Dobson Rd
MAGI,Main St & Gilbert Rd
MAGR,Main St & Greenfield Rd
MAHI,Main St & Higley Rd
MALI,Main St & Lindsay Rd
MAPO,Main St & Power Rd
MARE,Main St & Recker Rd
MAST,Main St & Stapley Dr
SYMA1,Main St & Sycamore
MAVA,Main St & Val Vista Dr
MAMR,Manistee Manor
MMCT,Maricopa Medical Center
MRHG,Marina Heights/Rio Salado
DRMR,Marriott Desert Ridge Resort
APMA,McAllister Av & Apache Blvd
MAUN,McAllister Ave & University Dr
MCAL,McClintock Dr & Alameda Dr
MCAP,McClintock Dr & Apache Blvd
MCBA,McClintock Dr & Baseline Rd
BAMC,McClintock Dr & Baseline Rd
MCBD,McClintock Dr & Broadway Rd
MCCA,McClintock Dr & Campus Dr
MCCH,McClintock Dr & Chandler Blvd
GAMC,McClintock Dr & Guadalupe Rd
MCSO,McClintock Dr & Southern Ave
MCUN,McClintock Dr & University Dr
MCWA,McClintock Dr & Warner Rd
LRMCAP,McClintock Dr/Apache Blvd
MCHI,McClintock High School
LRCEMD,McDowell/Central Ave
SECE,Mesa Active Adult Center
MEBD,Mesa Dr & Broadway Rd
MAME,Mesa Dr & Main St
MESO,Mesa Dr & Southern Ave
MEUN,Mesa Dr & University Dr
LRMAME,Mesa Dr/Main St
RVMP,Mesa Riverview
RVMP1,Mesa Riverview
LRMECE,Metro Pkwy
ML6TH,Mill Ave & 6th St Street Car
MIBA,Mill Ave & Baseline Rd
MIBD,Mill Ave & Broadway Rd
MIUN,Mill Ave & University Dr
MI3S,Mill Ave/3rd St
MICA,Miller Rd & Camelback Rd
MICU,Miller Rd & Curry Rd
MIIN,Miller Rd & Indian School Rd
MIMC,Miller Rd & McDowell Rd
MITH,Miller Rd & Thomas Rd
LR19MB,Montebello/19th Ave
19MB,Montebello/19th Ave TC
25MV,Mountain View/25th Ave
MUTC,Mustang TC
44WI1N,NB 44 St FS 2600 North
ML9TH,Ninth St/Mill
NTMC,North Tempe Multi-Gen Center
NO19,Northern/19th Ave
CEOS,Osborn/Central Ave
PCC,Paiute Community Center
PVMP,Palm Valley Blvd & McDowell Rd
PVCC,Paradise Valley CC
PVTC,Paradise Valley TC
PASAP,Paseo Del Saber/Apache
ESMC,Pebble Creek Pkwy & McDowell Rd
PARK,Pecos Park
GWAP,Phoenix Mesa Gateway Airport
PHZO,Phoenix Zoo
PITH,Pima Park
PICH,Pima Rd & Chaparral Rd
PIIB,Pima Rd & Indian Bend Rd
PIMC,Pima Rd & McDowell Rd
PP23,Pinnacle Peak Rd & 23rd Ave
