area_id,stop_id
CEMA,9585
WACP,9008
WACP,9036
CEMC,4501
CEUN,4490
CEUN,2786
MACE,9498
MACE,9499
CEBA,62
CEBA,6276
CEBA,3300
CEBA,5035
CEBE,122
CEBE,6355
CEBD,156
CEBD,6363
CEBD,5036
CEBD,3301
CEBD,7783
CEBU,1142
CEBU,6413
CEBU,3302
CEBU,5037
CECA,275
CECA,6463
CECA,2798
CECA,4508
CEDO,3303
CEDO,9178
CEDO,6518
CEDO,7827
CEGL,2806
CEGL,4518
CEGL,366
CEGL,6638
CEIN,4522
CEIN,424
CEIN,6748
CEMD,2813
CEMD,4530
CEMD,512
CEMD,6822
CENO,2818
CENO,557
CENO,6867
CEPO,8984
CERE,595
CERE,6945
CERO,3783
CERO,2825
CERO,614
CESO,3319
CESO,5048
CESO,691
CESO,6961
CETH,2826
CETH,4541
CETH,7020
CETH,769
CEVA,2837
CEVA,898
CEVA-W,6134
LRCECA,9009
LRCECA,9037
BUCC,9708
CSCH,7879
CSCH,7880
CH40,7578
CHVI,1202
CHVI,6492
CHDF,7531
CHDF,40143
CHMC,300
CHMC,5589
CHFC,30450
CHFC,7773
CHPR,10131
CHPR,8731
COCU,2849
COCU,313
COSO,40232
COSO,40240
COUN,3327
COUN,825
CLAP,9769
CLAP,9771
CORI,30557
RACO,30150
RACO,30154
CCBD,3336
CCBR,201
CCBR,6388
CCGU,8064
CCGU,8067
CCJU,7821
CCJU,9505
CCMA,2863
CCMA,5067
CCMA,6775
CCMA,8739
CCMK,1517
CCME,8066
CCSA,8065
SOCC,3335
SOCC,5068
SOCC,1643
SOCC,6963
LRCCMA,9347
LRCCMA,9353
COCO,9704
BOGR,1376
DRMP,7645
DRMP,7836
DRMP,3139
DSTC,1373
DSTC,1775
DSTC,1882
DSTC,1980
DSTC,1990
DSTC,2014
DSTC,9581
DSTC,9582
DSTC,9580
DOBA,1014
DOBA,6278
DOBA,3338
DOBA,9092
DOBD,1095
DOBD,6382
DOBD,3339
DOBD,5073
DOCH,1205
DOCH,6494
DOCH,4585
DOCH,2870
DOCH,4576
ELDO,8578
ELDO,8580
ELDO,1268
ELDO,6555
DOFR,7809
DOFR,7810
DOGE,8614
DOPE,8586
DOPE,8597
DOQC,8601
DOQC,9533
DORA,2880
DORA,4586
DORA,30019
DORA,30120
8SDO,8934
8SDO,8996
SODO,3345
SODO,5080
SODO,1644
SODO,6964
DOSO,3346
DOSO,5083
DOUN,2876
DOUN,4582
DOUN,1778
DOUN,7100
DOWA,4583
DRBD,159
DRBD,5454
DRBD,9424
DRBD,40211
APDO,9694
APDO,9010
APDO,9038
DP1A1,9792
DPCE2,9793
DPJE1,9794
DPWA2,9795
DRDW,3572
DRDW,3582
DRIN,5699
DYGL,8685
DYGL,8703
DYVA,8696
DYVA,907
DYVA,7144
63IN1E,1421
45TH1E,777
SKYEAS,SKTR2
ML11TH,9546
ML11TH,9731
CEEN,9011
CEEN,9039
ESCL,30433
ESCL,5809
ESLO,9804
EMCA,7737
EMCC,30263
EMCC,30264
EVUN,855
EVSO,697
5SASH,9545
FI4S,5635
FOGA,3353
FOGA,9732
FOGA,5087
VBGP,904
VBGP,6128
GBCO,8028
GBFR,9707
GRIC,3787
MRCY,30596
GIAS,2897
GIBA,3359
GIBA,4598
GIBR,162
GIBR,5456
GIBR,3361
GIBR,5091
GIBN,4599
GICH,5594
GICH,5092
GICH,3369
GICH,8337
GICV,5601
GICV,311
ELGI,30277
ELGI,6557
ELGI,2887
ELGI,5099
GIGE,8946
GIGE,9102
GIHO,4597
GIHO,2890
GIIN,8947
GIMC,9089
GIMK,4608
GIMK,9144
RAGI,3366
RAGI,5103
RAGI,30159
GIRY,30212
GISO,3368
GISO,5097
GISO,5940
GISO,699
LRMAGI,9762
LRMAGI,9763
GMTC,30377
GMTC,30378
GMTC,30381
GLGH,1346
GLGH,6639
GLLR,8111
GLLR,8713
95GL,8115
95GL,8673
54OC,30246
GEPR,9571
GL19,6655
GL19,6656
GYPR,8858
GRCA,2907
GRCA,4636
GRCH,307
GRIN,30275
GRIN,9715
GRMC,5767
GRMC,9570
GRMC,9430
GRSE,30437
GRSE,9629
SOGR,700
SOGR,9124
GSCS,1829
GSCS,7750
GSCS,7751
GSCS,6230
HAMO,9296
HVPR,8902
HVPR1,8132
HVPR1,8143
HABA,3380
HABA,5116
HABD,1098
HABD,6370
HABD,3381
HABD,5117
TMSC,9127
TMSC,9128
HAUN,3387
HAUN,5124
HAWA,3388
HAWA,7158
HAVD,30297
HAVD,4652
HFRS,9419
HACA,5573
HACA,2942
HACA,4642
HAIB,2927
HAIB,4643
HAMP,2931
HAMP,4645
HAMD,2932
HAMD,4662
HAMD,475
HAMD,9724
HAMC,2933
HAMC,4646
HAMK,2934
HAMK,4649
HARO,5865
HARO,615
HBMA,463
IKEA,7986
INTEL,8617
IN91,7862
IN91,7867
INGW,426
INGW,5700
INHA,2928
INHA,427
INHA,5701
LRCEIN,9012
LRCEIN,9040
INST,8101
JE16,452
JOBA,5359
JCLH,8561
KOHC,9310
KYBA,6283
KYBA,5137
KYCH,8898
KYCH,9357
KYCH,8582
KYCH,8613
KYEL,333
KYEL,6567
KYEL,7655
KYEL,2960
KYEL,7656
KYGU,1394
KYGU,6693
KYGU,3404
KYGU,5143
KYRW,3407
KYRW,5147
LABA,6284
LAGU,384
LAGU,5669
LERU,5287
LECO,5152
LEJA,438
1SLI1,9790
CELI2,9791
MCLI,30077
MCLI,1509
MCLI,9576
LFVB,8687
LFVB,2970
KYAL,8867
LT59,7626
LT59,9735
LAFC,8983
MC85,30583
MC85,30584
MAAL,2724
MAAL,5010
MAAL,1463
