from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837750-2086,PlainsINT-837707-1936
NBM-0374-02,NBM-0374-01,1,,,,,,PlainsINT-837752-2092,PlainsINT-837709-1942
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826045-1960,SouthBase-826060-2010
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826046-1966,SouthBase-826061-2016
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826048-1972,SouthBase-826063-2022
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826049-1974,SouthBase-826064-2024
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826050-1976,SouthBase-826065-2026
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826051-1978,SouthBase-826066-2028
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826052-1980,SouthBase-826068-2030
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826054-1984,SouthBase-826070-2034
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826056-1988,SouthBase-826072-2038
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826058-1994,SouthBase-826074-2044
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826079-2062,SouthBase-826035-1912
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826084-2086,SouthBase-826041-1936
NBM-0374-02,NBM-0374-01,1,,,,,,SouthBase-826086-2092,SouthBase-826043-1942
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831038-5815,SWKNDWCPeriod-831194-5715
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831039-5821,SWKNDWCPeriod-831246-5721
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831042-5831,SWKNDWCPeriod-831270-5731
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831044-5839,SWKNDWCPeriod-831272-5739
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831046-5847,SWKNDWCPeriod-831275-5747
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831047-5855,SWKNDWCPeriod-831268-5755
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831049-5867,SWKNDWCPeriod-831266-5767
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831051-5877,SWKNDWCPeriod-831274-5777
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831054-5885,SWKNDWCPeriod-831263-5785
NEC-2192-03,FB-0095-04,1,,,,,,SWKNDWCPeriod-831056-5893,SWKNDWCPeriod-831243-5793
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833754-5815,CP44-833910-5715
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833755-5821,CP44-833962-5721
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833758-5831,CP44-833986-5731
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833760-5839,CP44-833988-5739
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833762-5847,CP44-833991-5747
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833763-5855,CP44-833984-5755
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833765-5867,CP44-833982-5767
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833767-5877,CP44-833990-5777
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833770-5885,CP44-833979-5785
NEC-2192-03,FB-0095-04,1,,,,,,CP44-833772-5893,CP44-833959-5793
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837276-875,PlainsINT-837495-1775
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837279-885,PlainsINT-837509-1785
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837283-893,PlainsINT-837554-793
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838436-5815,PlainsINT-838508-5715
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838437-5821,PlainsINT-838560-5721
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838440-5831,PlainsINT-838584-5731
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838442-5839,PlainsINT-838586-5739
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838444-5847,PlainsINT-838589-5747
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838445-5855,PlainsINT-838582-5755
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838447-5867,PlainsINT-838580-5767
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838449-5877,PlainsINT-838588-5777
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838452-5885,PlainsINT-838577-5785
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838454-5893,PlainsINT-838557-5793
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837829-875,PlainsINT-838049-1775
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837832-885,PlainsINT-838065-1785
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-837836-893,PlainsINT-838112-793
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838188-5815,PlainsINT-838318-5715
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838189-5821,PlainsINT-838370-5721
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838192-5831,PlainsINT-838394-5731
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838194-5839,PlainsINT-838396-5739
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838196-5847,PlainsINT-838399-5747
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838197-5855,PlainsINT-838392-5755
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838199-5867,PlainsINT-838390-5767
NEC-2192-03,FB-0095-04,1,,,,,,PlainsINT-838201-5877,PlainsINT-838398-5777
