added_route_id,trip_id
741,75646163
742,75646163
743,75646163
741,75646171
742,75646171
743,75646171
741,75646173
742,75646173
743,75646173
741,75646174
742,75646174
743,75646174
741,75646176
742,75646176
743,75646176
741,75646178
742,75646178
743,75646178
741,75646182
742,75646182
743,75646182
741,75646183
742,75646183
743,75646183
741,75646185
742,75646185
743,75646185
741,75646187
742,75646187
743,75646187
741,75646189
742,75646189
743,75646189
741,75646192
742,75646192
743,75646192
741,75646193
742,75646193
743,75646193
741,75646198
742,75646198
743,75646198
741,75646202
742,75646202
743,75646202
741,75646203
742,75646203
743,75646203
741,75646207
742,75646207
743,75646207
741,75646216
742,75646216
743,75646216
741,75646219
742,75646219
743,75646219
741,75646224
742,75646224
743,75646224
741,75646233
742,75646233
743,75646233
741,75646234
742,75646234
743,75646234
741,75646237
742,75646237
743,75646237
741,75646246
742,75646246
743,75646246
741,75646249
742,75646249
743,75646249
741,75646254
742,75646254
743,75646254
741,75646257
742,75646257
743,75646257
741,75646260
742,75646260
743,75646260
741,75646265
742,75646265
743,75646265
741,75646267
742,75646267
743,75646267
741,75646268
742,75646268
743,75646268
741,75646272
742,75646272
743,75646272
741,75646277
742,75646277
743,75646277
741,75646293
742,75646293
743,75646293
741,75646308
742,75646308
743,75646308
741,75646343
742,75646343
743,75646343
741,75647053
742,75647053
743,75647053
741,75647054
742,75647054
743,75647054
741,75647055
742,75647055
743,75647055
741,75647056
742,75647056
743,75647056
741,75647057
742,75647057
743,75647057
741,75647058
742,75647058
743,75647058
741,75647059
742,75647059
743,75647059
741,75647060
742,75647060
743,75647060
741,75647061
742,75647061
743,75647061
741,75647062
742,75647062
743,75647062
741,75647063
742,75647063
743,75647063
741,75647064
742,75647064
743,75647064
741,75626397
742,75626397
743,75626397
741,75626401
742,75626401
743,75626401
741,75626425
742,75626425
743,75626425
741,75626501
742,75626501
743,75626501
741,75626819
742,75626819
743,75626819
741,75626904
742,75626904
743,75626904
741,75627025
742,75627025
743,75627025
741,75627320
742,75627320
743,75627320
741,75627330
742,75627330
743,75627330
741,75627331
742,75627331
743,75627331
741,75627351
742,75627351
743,75627351
741,75627358
742,75627358
743,75627358
741,75627363
742,75627363
743,75627363
741,75627373
742,75627373
743,75627373
741,75627375
742,75627375
743,75627375
741,75627376
742,75627376
743,75627376
741,75627378
742,75627378
743,75627378
741,75627390
742,75627390
743,75627390
741,75627392
742,75627392
743,75627392
741,75627393
742,75627393
743,75627393
741,75627395
742,75627395
743,75627395
741,75627397
742,75627397
743,75627397
741,75627403
742,75627403
743,75627403
741,75627404
742,75627404
743,75627404
741,75627406
742,75627406
743,75627406
741,75627408
742,75627408
743,75627408
741,75627410
742,75627410
743,75627410
741,75627414
742,75627414
743,75627414
741,75627415
742,75627415
743,75627415
741,75627417
742,75627417
743,75627417
741,75627421
742,75627421
743,75627421
741,75627422
742,75627422
743,75627422
741,75627426
742,75627426
743,75627426
741,75627434
742,75627434
743,75627434
741,75627439
742,75627439
743,75627439
741,75627446
742,75627446
743,75627446
741,75627455
742,75627455
743,75627455
741,75627456
742,75627456
743,75627456
741,75627459
742,75627459
743,75627459
741,75627468
742,75627468
743,75627468
741,75627471
742,75627471
743,75627471
741,75627476
742,75627476
743,75627476
741,75627481
742,75627481
743,75627481
741,75627483
742,75627483
743,75627483
741,75627492
742,75627492
743,75627492
741,75627494
742,75627494
743,75627494
741,75627495
742,75627495
743,75627495
741,75627499
742,75627499
743,75627499
741,75627505
742,75627505
743,75627505
741,75627670
742,75627670
743,75627670
741,75627708
742,75627708
743,75627708
741,75627822
742,75627822
743,75627822
741,75627931
742,75627931
743,75627931
741,75627935
742,75627935
743,75627935
741,75628231
742,75628231
743,75628231
741,75628232
742,75628232
743,75628232
741,75628233
742,75628233
743,75628233
741,75628234
742,75628234
743,75628234
741,75628235
742,75628235
743,75628235
741,75628236
742,75628236
743,75628236
741,75628237
742,75628237
743,75628237
741,75628238
742,75628238
743,75628238
741,75628239
742,75628239
743,75628239
741,75628240
742,75628240
743,75628240
741,75628241
742,75628241
743,75628241
741,75628242
742,75628242
743,75628242
741,75628243
742,75628243
743,75628243
741,75628244
742,75628244
743,75628244
741,75628245
742,75628245
743,75628245
741,76916945
742,76916945
743,76916945
741,76917605
742,76917605
743,76917605
741,76917638
742,76917638
743,76917638
741,76917784
742,76917784
743,76917784
741,76917806
742,76917806
743,76917806
741,76917807
742,76917807
743,76917807
741,76917846
742,76917846
743,76917846
741,76920380
742,76920380
743,76920380
741,76920381
742,76920381
743,76920381
741,76920382
742,76920382
743,76920382
741,76920383
742,76920383
743,76920383
741,76920384
742,76920384
743,76920384
741,76920385
742,76920385
743,76920385
741,76920386
742,76920386
743,76920386
741,76920387
742,76920387
743,76920387
741,76920388
742,76920388
743,76920388
741,76920389
742,76920389
743,76920389
741,76920390
742,76920390
743,76920390
741,77136687
742,77136687
743,77136687
741,77136709
742,77136709
743,77136709
741,77136776
742,77136776
743,77136776
741,77136845
742,77136845
743,77136845
741,77137183
742,77137183
743,77137183
741,77137475
742,77137475
743,77137475
741,77137510
742,77137510
743,77137510
741,77137551
742,77137551
743,77137551
741,77137552
742,77137552
743,77137552
741,77137590
742,77137590
743,77137590
741,77137804
742,77137804
743,77137804
741,77137805
742,77137805
743,77137805
741,77137806
742,77137806
743,77137806
741,77137807
742,77137807
743,77137807
741,77137808
742,77137808
743,77137808
741,77137809
742,77137809
743,77137809
741,77137810
742,77137810
743,77137810
741,77137811
742,77137811
743,77137811
741,77137812
742,77137812
743,77137812
741,77137813
742,77137813
743,77137813
741,77137814
742,77137814
743,77137814
741,77137815
742,77137815
743,77137815
741,77137816
742,77137816
743,77137816
741,77137817
742,77137817
743,77137817
741,77129346
742,77129346
743,77129346
741,77129350
742,77129350
743,77129350
741,77129374
742,77129374
743,77129374
741,77129447
742,77129447
743,77129447
741,77130204
742,77130204
743,77130204
741,77130242
742,77130242
743,77130242
741,77130356
742,77130356
743,77130356
741,77130460
742,77130460
743,77130460
741,77130462
742,77130462
743,77130462
741,77130507
742,77130507
743,77130507
741,77130562
742,77130562
743,77130562
741,77130589
742,77130589
743,77130589
741,77130603
742,77130603
743,77130603
741,77130638
742,77130638
743,77130638
741,77130655
742,77130655
743,77130655
741,77130720
742,77130720
743,77130720
741,77130964
742,77130964
743,77130964
741,77130965
742,77130965
743,77130965
741,77130966
742,77130966
743,77130966
741,77130967
742,77130967
743,77130967
741,77130968
742,77130968
743,77130968
741,77130969
742,77130969
743,77130969
741,77130970
742,77130970
743,77130970
741,77130971
742,77130971
743,77130971
741,77130972
742,77130972
743,77130972
741,77130973
742,77130973
743,77130973
741,77130974
742,77130974
743,77130974
741,77130975
742,77130975
743,77130975
741,77130976
742,77130976
743,77130976
741,77130977
742,77130977
743,77130977
741,77110518
742,77110518
743,77110518
741,77110540
742,77110540
743,77110540
741,77110608
742,77110608
743,77110608
741,77111148
742,77111148
743,77111148
741,77111182
742,77111182
743,77111182
741,77111224
742,77111224
743,77111224
741,77111225
742,77111225
743,77111225
741,77111246
742,77111246
743,77111246
741,77111434
742,77111434
743,77111434
741,77111437
742,77111437
743,77111437
741,77111439
742,77111439
743,77111439
741,77111448
742,77111448
743,77111448
741,77111454
742,77111454
743,77111454
741,77111465
742,77111465
743,77111465
741,77111491
742,77111491
743,77111491
741,77111505
742,77111505
743,77111505
741,77111512
742,77111512
743,77111512
741,77111603
742,77111603
743,77111603
741,77111604
742,77111604
743,77111604
741,77111605
742,77111605
743,77111605
741,77111614
742,77111614
743,77111614
741,77111624
742,77111624
743,77111624
741,77111633
742,77111633
743,77111633
741,77111634
742,77111634
743,77111634
741,77111695
742,77111695
743,77111695
741,77139930
742,77139930
743,77139930
741,77139931
742,77139931
743,77139931
741,77139955
742,77139955
743,77139955
741,77140033
742,77140033
743,77140033
741,77140785
742,77140785
743,77140785
741,77140936
742,77140936
743,77140936
741,77140996
742,77140996
743,77140996
741,77141067
742,77141067
743,77141067
741,77141122
742,77141122
743,77141122
741,77141149
742,77141149
743,77141149
741,77141163
742,77141163
743,77141163
741,77141198
742,77141198
743,77141198
741,77141215
742,77141215
743,77141215
741,77141281
742,77141281
743,77141281
741,77141512
742,77141512
743,77141512
741,77141513
742,77141513
743,77141513
741,77141514
742,77141514
743,77141514
741,77141515
742,77141515
743,77141515
741,77141516
742,77141516
743,77141516
741,77141517
742,77141517
743,77141517
741,77141518
742,77141518
743,77141518
741,77141519
742,77141519
743,77141519
741,77141520
742,77141520
743,77141520
741,77141521
742,77141521
743,77141521
741,77141522
742,77141522
743,77141522
741,77141523
742,77141523
743,77141523
741,77141524
742,77141524
743,77141524
741,77141525
742,77141525
743,77141525
741,77171814
742,77171814
743,77171814
741,77171815
742,77171815
743,77171815
741,77171838
742,77171838
743,77171838
741,77171914
742,77171914
743,77171914
741,77172679
742,77172679
743,77172679
741,77172695
742,77172695
743,77172695
741,77172735
742,77172735
743,77172735
741,77172826
742,77172826
743,77172826
741,77172900
742,77172900
743,77172900
741,77172968
742,77172968
743,77172968
741,77173023
742,77173023
743,77173023
741,77173050
742,77173050
743,77173050
741,77173064
742,77173064
743,77173064
741,77173099
742,77173099
743,77173099
741,77173116
742,77173116
743,77173116
741,77173181
742,77173181
743,77173181
741,77173433
742,77173433
743,77173433
741,77173434
742,77173434
743,77173434
741,77173435
742,77173435
743,77173435
741,77173436
742,77173436
743,77173436
741,77173437
742,77173437
743,77173437
741,77173438
742,77173438
743,77173438
741,77173439
742,77173439
743,77173439
741,77173440
